variant,load_Nm,scheme,H_rel,band_err_rad,motion_kept,eta,pred_r2
baseline,0.0,zoh,1.0,0.0,1.0,1.0,0.6790866369991102
baseline,0.0,linear,0.6960302367347652,0.018368059982016256,0.8189878008189221,1.1911051984003358,0.6790866369991102
baseline,0.0,predict,0.4275515139912846,0.024649179231616344,0.7408772494515082,2.317976499680238,0.6790866369991102
baseline,0.0,butter_c_5,0.3412578791704552,0.0740379071332231,0.2740825512002033,1.4184362686878798,0.6790866369991102
baseline,0.0,zerophase_5,0.2783083905518797,0.012337188726528682,0.8733053132089935,5.819116164983366,0.6790866369991102
baseline,0.0,butter_c_8,0.47056027198074135,0.04450511168922952,0.561505293996352,1.6493243481868962,0.6790866369991102
baseline,0.0,zerophase_8,0.4243329662991709,0.002680490696402674,0.9705927727279137,3.583298373894463,0.6790866369991102
baseline,0.0,butter_c_12,0.5883459063496514,0.025844376532382318,0.74495059558352,1.4420074364837874,0.6790866369991102
baseline,0.0,zerophase_12,0.5401143001298954,0.00043915288735550244,0.9946606430473931,2.2759395250959416,0.6790866369991102
baseline,2.0,zoh,1.0,0.0,1.0,1.0,0.6790866369991102
baseline,2.0,linear,0.8904080270203659,0.01836805998201382,0.8199541022088725,0.9214441694821266,0.6790866369991102
baseline,2.0,predict,0.802052830608243,0.02464917923161539,0.742631993385726,0.9274441657545838,0.6790866369991102
baseline,2.0,butter_c_5,0.768665857219497,0.07403790713322429,0.2778829803989587,0.36175912872823196,0.6790866369991102
baseline,2.0,zerophase_5,0.7357767777724443,0.012337188726531364,0.874074769230627,1.1971019230338016,0.6790866369991102
baseline,2.0,butter_c_8,0.8250699899056184,0.04450511168923005,0.5638412939949508,0.6843081160330527,0.6790866369991102
baseline,2.0,zerophase_8,0.8044472497797167,0.0026804906964042444,0.9708117123308281,1.2096151220880402,0.6790866369991102
baseline,2.0,butter_c_12,0.8675481441684642,0.02584437653238106,0.746319088005044,0.8611898399367123,0.6790866369991102
baseline,2.0,zerophase_12,0.8499017569083384,0.00043915288735509034,0.9947108782417965,1.1723877919650978,0.6790866369991102
baseline,10.0,zoh,1.0,0.0,1.0,1.0,0.6790866369991102
baseline,10.0,linear,0.9919311305964934,0.018368059982012016,0.8342568713300412,0.8409965158698921,0.6790866369991102
baseline,10.0,predict,0.985872557336929,0.024649179231614415,0.7661017587249878,0.7770533115302506,0.6790866369991102
baseline,10.0,butter_c_5,0.9841707851903952,0.0740379071332239,0.33470962430808965,0.33969687318889474,0.6790866369991102
baseline,10.0,zerophase_5,0.9803135684081119,0.012337188726526093,0.8846826988044872,0.9024020365183111,0.6790866369991102
baseline,10.0,butter_c_8,0.9886170486473963,0.04450511168922774,0.5984454621596669,0.6052407805916878,0.6790866369991102
baseline,10.0,zerophase_8,0.9861038376914255,0.0026804906964010005,0.9736040706205272,0.9873382448774927,0.6790866369991102
baseline,10.0,butter_c_12,0.9916235809458658,0.025844376532381946,0.7665207041623702,0.7729705008833075,0.6790866369991102
baseline,10.0,zerophase_12,0.9895885670207019,0.000439152887355413,0.9953080240440922,1.005789671236095,0.6790866369991102
no_torques_energy,0.0,zoh,1.0,0.0,1.0,1.0,0.38467464876544605
no_torques_energy,0.0,linear,0.6606436164753204,0.020266302480135303,0.7828518057312878,1.1962492861769238,0.38467464876544605
no_torques_energy,0.0,predict,0.25150443043716364,0.030876665376113194,0.6250242583881035,3.092766455096651,0.38467464876544605
no_torques_energy,0.0,butter_c_5,0.1623293523656568,0.0800120775908665,0.14803029969599527,1.9825008301618192,0.38467464876544605
no_torques_energy,0.0,zerophase_5,0.11095582507700762,0.016959625966951608,0.8108318585241712,15.486853415037821,0.38467464876544605
no_torques_energy,0.0,butter_c_8,0.3036744367779482,0.049394356895412,0.47136255032391056,2.066485804307471,0.38467464876544605
no_torques_energy,0.0,zerophase_8,0.22952299061101666,0.004673019110281978,0.9433634367997695,6.4438050365647035,0.38467464876544605
no_torques_energy,0.0,butter_c_12,0.47968629380669364,0.028869851442776456,0.6900731110129863,1.6064507036290567,0.38467464876544605
no_torques_energy,0.0,zerophase_12,0.4004431281986403,0.0008876603359982063,0.9882304872010202,2.9052236202881754,0.38467464876544605
no_torques_energy,2.0,zoh,1.0,0.0,1.0,1.0,0.38467464876544605
no_torques_energy,2.0,linear,0.8136656635316286,0.020266302480135202,0.7844771507596938,0.9673080190794892,0.38467464876544605
no_torques_energy,2.0,predict,0.5827846934827491,0.03087666537611466,0.6286324080330845,1.1442237796120498,0.38467464876544605
no_torques_energy,2.0,butter_c_5,0.5292947264328859,0.08001207759086494,0.15430436483209822,0.29471279920191235,0.38467464876544605
no_torques_energy,2.0,zerophase_5,0.4925021902490067,0.01695962596695104,0.8122952952594624,2.0607992244375732,0.38467464876544605
no_torques_energy,2.0,butter_c_8,0.6208485697674339,0.04939435689540996,0.47528762828788,0.7827794811918617,0.38467464876544605
no_torques_energy,2.0,zerophase_8,0.5724078331654809,0.004673019110283139,0.9439101825654377,1.7713450819738419,0.38467464876544605
no_torques_energy,2.0,butter_c_12,0.7266229332110988,0.02886985144277776,0.6924012886416132,0.9616731707103421,0.38467464876544605
no_torques_energy,2.0,zerophase_12,0.6790360064672107,0.0008876603359983098,0.9883716442270781,1.4787382439945524,0.38467464876544605
no_torques_energy,10.0,zoh,1.0,0.0,1.0,1.0,0.38467464876544605
no_torques_energy,10.0,linear,0.9716334985546541,0.020266302480139293,0.8104317103240347,0.8337311129993531,0.38467464876544605
no_torques_energy,10.0,predict,0.9328920310112813,0.030876665376115015,0.6823188856722918,0.7312994094654389,0.38467464876544605
no_torques_energy,10.0,butter_c_5,0.923360744192165,0.08001207759086704,0.2553802039079059,0.26721022589688365,0.38467464876544605
no_torques_energy,10.0,zerophase_5,0.9148485292522178,0.01695962596694861,0.835362181896426,0.9171225514762104,0.38467464876544605
no_torques_energy,10.0,butter_c_8,0.9413314601881075,0.049394356895409684,0.5382229266502989,0.5686044712087882,0.38467464876544605
no_torques_energy,10.0,zerophase_8,0.9306179130768478,0.004673019110281624,0.9517473253857694,1.027474904258825,0.38467464876544605
no_torques_energy,10.0,butter_c_12,0.9613849088853891,0.028869851442777556,0.7295113622280942,0.7579947884126499,0.38467464876544605
no_torques_energy,10.0,zerophase_12,0.9516569438832431,0.0008876603359969263,0.9902842231021617,1.042551874593665,0.38467464876544605
task_only,0.0,zoh,1.0,0.0,1.0,1.0,0.0585149937140892
task_only,0.0,linear,0.62441371214731,0.009536026122485598,0.7912676278692249,1.2782367873757048,0.0585149937140892
task_only,0.0,predict,0.14166116535466314,0.01863549966817074,0.5794870751329739,4.263054327528838,0.0585149937140892
task_only,0.0,butter_c_5,0.056987167633496476,0.03123381709328833,0.32869102104430803,7.097296262538052,0.0585149937140892
task_only,0.0,zerophase_5,0.029195745777238075,0.014480893657017498,0.6877622107334224,30.6527284767169,0.0585149937140892
task_only,0.0,butter_c_8,0.1753044911584617,0.023321170978437278,0.48983220642916847,3.4959858278545837,0.0585149937140892
task_only,0.0,zerophase_8,0.1127659384110015,0.005036285704522066,0.8919158749999113,9.339885110175677,0.0585149937140892
task_only,0.0,butter_c_12,0.35511735668639893,0.014208835906937396,0.689728952112232,2.147803551852089,0.0585149937140892
task_only,0.0,zerophase_12,0.27181561530163617,0.001029709897773586,0.9774407493647873,3.9369613112300503,0.0585149937140892
task_only,2.0,zoh,1.0,0.0,1.0,1.0,0.0585149937140892
task_only,2.0,linear,0.7570579483138334,0.0095360261224828,0.784806559988724,1.0347731835654954,0.0585149937140892
task_only,2.0,predict,0.4316397962956302,0.018635499668168656,0.5656215212121514,1.4594074209588694,0.0585149937140892
task_only,2.0,butter_c_5,0.38117493395851115,0.031233817093287725,0.3104815197285235,0.6466021601820788,0.0585149937140892
task_only,2.0,zerophase_5,0.35391633325257305,0.014480893657017041,0.6779031510806427,2.6933698535955126,0.0585149937140892
task_only,2.0,butter_c_8,0.4671977669321196,0.023321170978432476,0.4740620638339328,0.974231891840554,0.0585149937140892
task_only,2.0,zerophase_8,0.41567502774059123,0.0050362857045207175,0.8887383038249282,2.5741753149056406,0.0585149937140892
task_only,2.0,butter_c_12,0.5912396022652422,0.01420883590693376,0.6801711991878774,1.1540948041672225,0.0585149937140892
task_only,2.0,zerophase_12,0.5293778310340027,0.0010297098977726548,0.9767307352046602,1.9607610275643486,0.0585149937140892
task_only,10.0,zoh,1.0,0.0,1.0,1.0,0.0585149937140892
task_only,10.0,linear,0.9518617219398119,0.009536026122484014,0.7793620225783058,0.8165893072746454,0.0585149937140892
task_only,10.0,predict,0.8831433100288512,0.01863549966816875,0.5520141958519379,0.6188002506717439,0.0585149937140892
task_only,10.0,butter_c_5,0.874173813211404,0.031233817093289235,0.2832971986228414,0.2974543588790172,0.0585149937140892
task_only,10.0,zerophase_5,0.8655352977852697,0.014480893657019475,0.6677968300298986,0.7619823314067501,0.0585149937140892
task_only,10.0,butter_c_8,0.894868326431398,0.02332117097843507,0.4608098858368537,0.49684941221152235,0.0585149937140892
task_only,10.0,zerophase_8,0.8808134266441449,0.00503628570452013,0.8866867893966758,1.0127652690919817,0.0585149937140892
task_only,10.0,butter_c_12,0.9220781034035564,0.014208835906936694,0.6722614212742561,0.723169295130612,0.0585149937140892
task_only,10.0,zerophase_12,0.907280873051831,0.0010297098977735323,0.9761174733387699,1.0825724996251695,0.0585149937140892
