scheme,n,H,H_sd,H_rel,vel_err,vel_sd,vel_rel,ripple_frac,steps_alive,fall_rate,d_H,d_vel
zoh,30,376.83799,92.66836,1.0,0.06723,0.00607,1.0,0.70941,500.0,0.0,0.0,0.0
linear,30,347.04297,75.46827,0.92093,0.07214,0.0044,1.07309,0.68668,500.0,0.0,-0.33111,0.48222
butter_8,30,352.94518,80.33604,0.9366,0.13504,0.02488,2.00862,0.6842,500.0,0.0,-0.32889,1.0
butter_12,30,345.93831,82.35036,0.918,0.09122,0.00327,1.35692,0.67881,500.0,0.0,-0.33333,1.0
delay_sym,30,396.68088,98.06525,1.05266,0.26479,0.1398,3.93855,0.73972,359.86667,0.36667,0.17111,1.0
predict,30,288.36453,60.26054,0.76522,0.10653,0.00719,1.58453,0.61516,500.0,0.0,-0.34222,1.0
gated,30,331.14389,69.97635,0.87874,0.07725,0.00535,1.14907,0.68608,500.0,0.0,-0.33333,0.74444
