eval/avg_episode_length,eval/episode_reward,eval/episode_reward/action_rate,eval/episode_reward/action_rate_std,eval/episode_reward/ang_vel_xy,eval/episode_reward/ang_vel_xy_std,eval/episode_reward/dof_pos_limits,eval/episode_reward/dof_pos_limits_std,eval/episode_reward/energy,eval/episode_reward/energy_std,eval/episode_reward/feet_air_time,eval/episode_reward/feet_air_time_std,eval/episode_reward/feet_clearance,eval/episode_reward/feet_clearance_std,eval/episode_reward/feet_height,eval/episode_reward/feet_height_std,eval/episode_reward/feet_slip,eval/episode_reward/feet_slip_std,eval/episode_reward/lin_vel_z,eval/episode_reward/lin_vel_z_std,eval/episode_reward/orientation,eval/episode_reward/orientation_std,eval/episode_reward/pose,eval/episode_reward/pose_std,eval/episode_reward/stand_still,eval/episode_reward/stand_still_std,eval/episode_reward/termination,eval/episode_reward/termination_std,eval/episode_reward/torques,eval/episode_reward/torques_std,eval/episode_reward/tracking_ang_vel,eval/episode_reward/tracking_ang_vel_std,eval/episode_reward/tracking_lin_vel,eval/episode_reward/tracking_lin_vel_std,eval/episode_reward_std,eval/episode_swing_peak,eval/episode_swing_peak_std,eval/epoch_eval_time,eval/sps,eval/std_episode_length,eval/walltime,step,training/entropy_loss,training/kl_mean,training/learning_rate,training/policy_dist_mean_std,training/policy_loss,training/sps,training/total_loss,training/v_loss,training/walltime,wall_s
30.578125,0.0034156376495957375,-2.9964404106140137,1.440986156463623,-64.51728820800781,22.07412338256836,-0.13855746388435364,0.19473978877067566,0.0,0.0,0.0010781236924231052,0.015058016404509544,-20.821168899536133,9.780739784240723,-0.1957327127456665,0.1799340844154358,-1.608544111251831,1.5194672346115112,-6.539854049682617,3.821587324142456,-45.280723571777344,15.809515953063965,6.910982131958008,2.951754093170166,0.0,0.0,-1.0,0.0,0.0,0.0,3.408705234527588,2.223322868347168,3.3628339767456055,5.492706298828125,0.005826936569064856,3.2632532119750977,2.0893421173095703,41.52731227874756,3082.3087981426283,14.167308807373047,41.52731227874756,0,,,,,,,,,,104.2
980.578125,13.779272079467773,-18.276180267333984,4.115118026733398,-88.40731811523438,23.16493034362793,0.0,0.0,0.0,0.0,-0.39800018072128296,0.11573851853609085,-302.3722229003906,53.08694076538086,-8.62332534790039,2.652745008468628,-9.22684097290039,5.114387035369873,-9.766374588012695,3.0601325035095215,-18.235614776611328,10.747541427612305,446.90643310546875,53.33427810668945,-12.624359130859375,54.22867202758789,-0.03125,0.17399263381958008,0.0,0.0,393.4307861328125,50.86933517456055,300.4490051269531,255.2678680419922,6.001976490020752,60.822486877441406,11.791031837463379,40.792420864105225,3137.837796545975,114.55570220947266,82.31973314285278,8192000,0.0125154173001647,0.03747313469648361,0.00029999998514540493,0.27902868390083313,-0.011970626190304756,4790655.190943083,0.0008731417474336922,0.0003283509868197143,52.011552572250366,229.2
977.8515625,18.30471420288086,-6.98455810546875,2.199678421020508,-28.912857055664062,11.432607650756836,0.0,0.0,0.0,0.0,-0.17601561546325684,0.10613274574279785,-185.56459045410156,53.34793472290039,-4.272336959838867,2.603328227996826,-3.0135250091552734,2.647942543029785,-4.041457176208496,2.2254891395568848,-13.00151252746582,11.28367805480957,457.2336730957031,62.82321548461914,-17.993846893310547,86.63592529296875,-0.03125,0.17399263381958008,0.0,0.0,439.3089599609375,61.165748596191406,279.3153381347656,232.43724060058594,4.9173688888549805,56.74005126953125,17.38814353942871,2.9928603172302246,42768.45105770222,131.01467895507812,85.31259346008301,16384000,0.07775559276342392,0.04750854894518852,0.00029999998514540493,0.16645105183124542,-0.006489866878837347,4413067.037901419,0.07151233404874802,0.00024661008501425385,68.84595680236816,249.2
999.625,22.807525634765625,-10.816360473632812,4.124728679656982,-46.906272888183594,20.688257217407227,0.0,0.0,0.0,0.0,-0.0911249965429306,0.08921942859888077,-262.21026611328125,68.51942443847656,-3.5492939949035645,1.7012373208999634,-7.290471076965332,5.695136070251465,-8.42074203491211,4.31942081451416,-17.00737762451172,9.22422981262207,456.11212158203125,12.806928634643555,-19.724952697753906,86.67253112792969,-0.0078125,0.08804240077733994,0.0,0.0,440.9525451660156,14.530939102172852,616.904052734375,288.5737609863281,4.964888572692871,80.96919250488281,15.52391529083252,2.904445171356201,44070.37917683662,4.226035118103027,88.21703863143921,24576000,0.07462938874959946,0.05264303833246231,0.00029999998514540493,0.17803621292114258,-0.00969670619815588,4964382.648165773,0.06592319160699844,0.0009905031183734536,85.47113108634949,268.9
970.875,25.90372085571289,-13.572620391845703,4.346761226654053,-51.10334014892578,18.001094818115234,-0.0016859588213264942,0.018999790772795677,0.0,0.0,0.022656232118606567,0.10482635349035263,-295.0177917480469,75.7017593383789,-2.3621668815612793,1.360609531402588,-6.836328506469727,4.345885753631592,-12.016219139099121,5.448152542114258,-16.490386962890625,8.800293922424316,429.1000061035156,69.81725311279297,-18.727561950683594,76.8120346069336,-0.0390625,0.19374370574951172,0.0,0.0,430.419677734375,69.21078491210938,847.5244140625,194.26300048828125,5.30699348449707,94.88703918457031,21.29448127746582,2.912421703338623,43949.67935215858,146.59271240234375,91.12946033477783,32768000,0.07429056614637375,0.05734913423657417,0.00029999998514540493,0.187475323677063,-0.011165027506649494,4893862.253535329,0.06338657438755035,0.0002610364172141999,102.3775806427002,288.8
991.3671875,28.067625045776367,-13.88632583618164,3.195772409439087,-42.4827880859375,11.778083801269531,0.0,0.0,0.0,0.0,0.07157810032367706,0.10984152555465698,-294.54913330078125,45.48924255371094,-1.7606399059295654,1.1263412237167358,-4.99376106262207,2.924014091491699,-10.543638229370117,3.8103859424591064,-15.198490142822266,9.900614738464355,439.0893249511719,36.5755500793457,-19.269634246826172,89.53028869628906,-0.0234375,0.15128840506076813,0.0,0.0,448.52813720703125,33.03176498413086,915.2673950195312,76.27813720703125,3.181170701980591,101.06239318847656,11.447360038757324,2.980940580368042,42939.4671074579,65.9150619506836,94.11040091514587,40960000,0.08421709388494492,0.061911698430776596,0.00029999998514540493,0.1771603375673294,-0.006934851408004761,4228756.5967751425,0.0775076150894165,0.0002253824204672128,119.3948814868927,309.0
973.6953125,28.06841278076172,-14.064642906188965,3.0970633029937744,-41.0142822265625,9.563862800598145,0.0,0.0,0.0,0.0,0.07584372162818909,0.08341221511363983,-282.4302978515625,55.02848434448242,-1.3505558967590332,0.881769061088562,-4.411243438720703,2.3433032035827637,-11.043827056884766,3.4313883781433105,-15.049994468688965,9.787310600280762,429.29864501953125,65.84796142578125,-9.434087753295898,61.359588623046875,-0.046875,0.21137107908725739,0.0,0.0,442.5970153808594,66.23880767822266,905.5711669921875,141.28231811523438,4.755136489868164,101.11064147949219,16.07889175415039,2.9532628059387207,43341.89281854788,140.7895965576172,97.0636637210846,49152000,0.08471943438053131,0.05954040214419365,0.00029999998514540493,0.1801675260066986,-0.008678112179040909,4919568.645042258,0.07624822854995728,0.00020690113888122141,136.20796704292297,328.9
1000.0,29.216079711914062,-14.142757415771484,2.5807464122772217,-38.423500061035156,7.551774024963379,0.0,0.0,0.0,0.0,0.0809062123298645,0.0897621214389801,-269.39794921875,38.7154541015625,-1.2156366109848022,0.8145592212677002,-3.8411664962768555,1.8015697002410889,-10.30864143371582,3.0657031536102295,-12.273155212402344,5.226583003997803,446.39459228515625,15.421295166015625,-29.209247589111328,121.72789764404297,0.0,0.0,0.0,0.0,457.662841796875,5.262233257293701,934.9466552734375,23.691423416137695,2.3552446365356445,103.29662322998047,5.94902229309082,2.9744274616241455,43033.491874132764,0.0,100.03809118270874,57344000,0.08576198667287827,0.056572865694761276,0.00029999998514540493,0.18292851746082306,-0.009881612844765186,4798244.349800821,0.07607240229845047,0.00019202535622753203,153.428697347641,349.2
993.46875,29.502094268798828,-14.28187370300293,2.661226749420166,-38.359745025634766,8.619142532348633,0.0,0.0,0.0,0.0,0.11909371614456177,0.09064070880413055,-264.75518798828125,42.15478515625,-1.0138342380523682,0.7058393955230713,-3.765664577484131,1.979262351989746,-10.406137466430664,3.2266407012939453,-12.144763946533203,6.214657783508301,441.64691162109375,37.1262321472168,-12.188745498657227,50.2288818359375,-0.0078125,0.08804240077733994,0.0,0.0,456.23077392578125,34.81964111328125,932.7965087890625,76.11292266845703,2.9849185943603516,103.273681640625,9.070008277893066,3.031102418899536,42228.860101161255,73.60345458984375,103.06919360160828,65536000,0.08890881389379501,0.05830514430999756,0.00029999998514540493,0.1815057098865509,-0.00857319962233305,4603775.307792726,0.08052457869052887,0.0001889533450594172,170.34962606430054,369.3
994.484375,29.716602325439453,-14.391790390014648,2.4446535110473633,-36.65965270996094,7.575654983520508,-0.0008459459058940411,0.009533325210213661,0.0,0.0,0.12328121066093445,0.09443175047636032,-255.75393676757812,39.42232131958008,-1.0343694686889648,0.8609474897384644,-3.346956253051758,1.7224225997924805,-9.734272003173828,2.613410234451294,-12.39814567565918,6.545738220214844,441.67828369140625,26.902225494384766,-14.189064979553223,71.08502960205078,-0.015625,0.12401959300041199,0.0,0.0,456.6867980957031,23.274091720581055,933.1260375976562,54.4177131652832,2.474243640899658,103.711669921875,6.855406761169434,2.9385488033294678,43558.915834568405,46.11771011352539,106.00774240493774,73728000,0.08895990997552872,0.05677807331085205,0.00029999998514540493,0.18407773971557617,-0.009658575989305973,4874753.404266548,0.07949032634496689,0.0001889841805677861,187.31766557693481,389.4
