variant,final_reward,best_reward,steps_to_threshold,wall_min
baseline,24.653,24.653,49152000,6.7
no_action_rate,25.97,25.97,49152000,6.6
no_torques_energy,29.816,29.816,16384000,6.8
no_feet_air_time,24.669,24.669,49152000,6.8
no_orientation,26.696,26.696,49152000,6.7
no_gait_terms,32.924,32.924,16384000,6.6
task_only,26.525,26.527,16384000,6.5
